DATASET	DB_NAME	DB_TYPE
ABAXX	ABAXX	Tick Data
ABU_DHABI	ABU_DHABI	Tick Data
ABU_DHABI	ABU_DHABI_BARS	1 Minute Bars
ABU_DHABI	ABU_DHABI_DAILY	End of Day Metrics
ALPHA	ALPHA	Tick Data
ALPHA	ALPHA_DAILY	End of Day Metrics
ALPHA_X	ALPHA_X	Tick Data
ALPHA_X	ALPHA_X_DAILY	End of Day Metrics
AMEX	AMEX	Tick Data
AMEX	AMEX_DAILY	End of Day Metrics
AQSE	AQSE	Tick Data
AQSE	AQSE_BARS	1 Minute Bars
AQSE	AQSE_DAILY	End of Day Metrics
AQUIS	AQUIS	Tick Data
AQUIS	AQUIS_BARS	1 Minute Bars
AQUIS	AQUIS_DAILY	End of Day Metrics
AQUIS_EU	AQUIS_EU	Tick Data
AQUIS_EU	AQUIS_EU_BARS	1 Minute Bars
AQUIS_EU	AQUIS_EU_DAILY	End of Day Metrics
ARCA	ARCA	Tick Data
ARCA	ARCA_DAILY	End of Day Metrics
ARCA_IMB	ARCA_IMB	Tick Data
ASX	ASX	Tick Data
ASX	ASX_BARS	1 Minute Bars
ASX_FUT	ASX_FUT	Tick Data
ASX_FUT	ASX_FUT_BARS	1 Minute Bars
ASX_FUT	ASX_FUT_DAILY	End of Day Metrics
ATHENS	ATHENS	Tick Data
ATHENS	ATHENS_BARS	1 Minute Bars
ATHENS	ATHENS_DAILY	End of Day Metrics
AU_COMP	AU_COMP	Tick Data
AU_COMP	AU_COMP_BARS	1 Minute Bars
AU_COMP	AU_COMP_DAILY	End of Day Metrics
AU_COMP_SAMPLE	AU_COMP_SAMPLE	Tick Data
AU_COMP_SAMPLE	AU_COMP_SAMPLE_BARS	1 Minute Bars
AU_COMP_SAMPLE	AU_COMP_SAMPLE_DAILY	End of Day Metrics
BINANCE	BINANCE	Tick Data
BITFINEX	BITFINEX	Tick Data
BITNOMIAL	BITNOMIAL	Tick Data
BIVA	BIVA	Tick Data
BIVA	BIVA_DAILY	End of Day Metrics
BLUE_OCEAN	BLUE_OCEAN	Tick Data
BLUE_OCEAN	BLUE_OCEAN_DAILY	End of Day Metrics
BRAZIL_EQ	BRAZIL_EQ	Tick Data
BRAZIL_EQ	BRAZIL_EQ_BARS	1 Minute Bars
BRAZIL_FUT	BRAZIL_FUT	Tick Data
BRAZIL_FUT	BRAZIL_FUT_BARS	1 Minute Bars
BRAZIL_FUT	BRAZIL_FUT_DAILY	End of Day Metrics
BRAZIL_OTC	BRAZIL_OTC	Tick Data
BSE	BSE	Tick Data
BSE	BSE_BARS	1 Minute Bars
BSE	BSE_DAILY	End of Day Metrics
BSE_SAMPLE	BSE_SAMPLE_DAILY	End of Day Metrics
BUCHAREST	BUCHAREST	Tick Data
BUCHAREST	BUCHAREST_DAILY	End of Day Metrics
BUDAPEST	BUDAPEST	Tick Data
BUDAPEST	BUDAPEST_BARS	1 Minute Bars
BUDAPEST	BUDAPEST_DAILY	End of Day Metrics
BUDAPEST_IDX	BUDAPEST_IDX	Tick Data
BXE	BXE	Tick Data
BXE	BXE_BARS	1 Minute Bars
BXE	BXE_DAILY	End of Day Metrics
BYBIT	BYBIT	Tick Data
BYX	BYX	Tick Data
BYX	BYX_DAILY	End of Day Metrics
BZX	BZX	Tick Data
BZX	BZX_DAILY	End of Day Metrics
CA_COMP	CA_COMP	Tick Data
CA_COMP	CA_COMP_BARS	1 Minute Bars
CA_COMP	CA_COMP_DAILY	End of Day Metrics
CA_COMP_SAMPLE	CA_COMP_SAMPLE	Tick Data
CA_COMP_SAMPLE	CA_COMP_SAMPLE_BARS	1 Minute Bars
CA_COMP_SAMPLE	CA_COMP_SAMPLE_DAILY	End of Day Metrics
CBOE_APA	CBOE_APA	Tick Data
CBOE_APA	CBOE_APA_DAILY	End of Day Metrics
CBOE_AU	CBOE_AU	Tick Data
CBOE_AU	CBOE_AU_BARS	1 Minute Bars
CBOE_IDX	CBOE_IDX	Tick Data
CBOE_JP	CBOE_JP	Tick Data
CBOE_JP	CBOE_JP_BARS	1 Minute Bars
CBOT	CBOT	Tick Data
CBOT	CBOT_BARS	1 Minute Bars
CBOT	CBOT_DAILY	End of Day Metrics
CBOT	CBOT_LATEST	Real Time Latest Values
CFE	CFE	Tick Data
CFE	CFE_BARS	1 Minute Bars
CFE	CFE_DAILY	End of Day Metrics
CFE	CFE_LATEST	Real Time Latest Values
CME	CME	Tick Data
CME	CME_BARS	1 Minute Bars
CME	CME_DAILY	End of Day Metrics
CME_SAMPLE	CME_SAMPLE	Tick Data
CME_SAMPLE	CME_SAMPLE_BARS	1 Minute Bars
CME_SAMPLE	CME_SAMPLE_DAILY	End of Day Metrics
CME_GLOBEX	CME_GLOBEX	Tick Data
CME_GLOBEX	CME_GLOBEX_BARS	1 Minute Bars
CME_GLOBEX	CME_GLOBEX_DAILY	End of Day Metrics
CME_GLOBEX	CME_GLOBEX_LATEST	Real Time Latest Values
COINBASE_INTL	COINBASE_INTL	Tick Data
COINBASE_US	COINBASE_US	Tick Data
COLOMBIA	COLOMBIA	Tick Data
COLOMBIA	COLOMBIA_BARS	1 Minute Bars
COMEX	COMEX	Tick Data
COMEX	COMEX_BARS	1 Minute Bars
COMEX	COMEX_DAILY	End of Day Metrics
COMEX	COMEX_LATEST	Real Time Latest Values
CSE	CSE	Tick Data
CSE	CSE_DAILY	End of Day Metrics
CSE2	CSE2	Tick Data
CSE2	CSE2_DAILY	End of Day Metrics
CX2	CX2	Tick Data
CX2	CX2_DAILY	End of Day Metrics
CXC	CXC	Tick Data
CXC	CXC_DAILY	End of Day Metrics
CXE	CXE	Tick Data
CXE	CXE_BARS	1 Minute Bars
CXE	CXE_DAILY	End of Day Metrics
CYPRUS	CYPRUS	Tick Data
CYPRUS	CYPRUS_DAILY	End of Day Metrics
DALIAN	DALIAN	Tick Data
DALIAN	DALIAN_BARS	1 Minute Bars
DB_IDX	DB_IDX	Tick Data
DB_IDX	DB_IDX_DAILY	End of Day Metrics
DERIBIT	DERIBIT	Tick Data
DE_REGIONAL	DE_REGIONAL	Tick Data
DE_REGIONAL	DE_REGIONAL_BARS	1 Minute Bars
DE_REGIONAL	DE_REGIONAL_DAILY	End of Day Metrics
DFM	DFM	Tick Data
DFM	DFM_BARS	1 Minute Bars
DGCX	DGCX	Tick Data
DGCX	DGCX_BARS	1 Minute Bars
DJ_IDX	DJ_IDX	Tick Data
DJ_IDX	DJ_IDX_DAILY	End of Day Metrics
DUBLIN	DUBLIN	Tick Data
DUBLIN	DUBLIN_BARS	1 Minute Bars
DUBLIN	DUBLIN_DAILY	End of Day Metrics
DUBLIN	DUBLIN_LATEST	Real Time Latest Values
