FIELD	string[256] TICK_TYPE	string[1024] DESCRIPTION
52_WEEK_HIGH	DAY	Highest price over the last 52 weeks
52_WEEK_HIGH_COUNT	DAY	Number of instruments that have set a new 52-week high on the current trading day
52_WEEK_LOW	DAY	Lowest price over the last 52 weeks
52_WEEK_LOW_COUNT	DAY	Number of instruments that have set a new 52-week low on the current trading day
ACCRUED_INTEREST	STAT, QTE	Interest accrued by a fixed income security since the last coupon payment
ACC_VOLUME	TRD	Total volume traded on the current trading day
ACTIV_SYMBOL	STAT	Ticker symbol used by Activ Financial
ADDL_TRADE_TYPE	STAT	Secondary trade type
ADJ_FRONT_MONTH	CONT	Price adjustment used for building continuous futures contracts, rolling based on number of days to expiry. Value = <last settlement price of new front month> - <last settlement price of previous front month>
ADJ_HIGHEST_OI	CONT	Price adjustment used for building continuous futures contracts, rolling based on highest open interest. Value = <last settlement price of new front month> - <last settlement price of previous front month>
ADJ_HIGHEST_VOLUME	CONT	Price adjustment used for building continuous futures contracts, rolling based on highest total volume.  Value = <last settlement price of new front month> - <last settlement price of previous front month>
ADT	STAT	Average Daily Turnover, as defined by MiFID
AGGRESSOR_SIDE	TRD	Indicates whether a trade resulted from an incoming buy or sell order.
ALGO_TYPE	PRL_FULL	Type of algorithm / routing properties associated with an order
ASK_CLOSE	DAY	Closing ask price
ASK_COND	QTE, QTE_ODD_LOT	Quote condition applicable to the best ask
ASK_EXCHANGE	QTE, NBBO	Exchange that set the best ask
ASK_EXEC_VOLUME	IND	Total volume of sell orders that are executable at the indicative auction price
ASK_LIMIT_IND	QTE	Indicates whether the best ask is at the upper / lower trading limit (limit up / limit down)
ASK_MKT_ORDER_SIZE	QTE	Total volume of market orders on the ask side
ASK_NUM_ORDERS	QTE	Number of orders at the best ask price
ASK_ORDER_CNT	QTE	Number of orders at the best ask price [same as ASK_NUM_ORDERS]
ASK_PRICE	QTE, QTE_ODD_LOT, NBBO	Best ask price. A null value is used if the ask side is empty, or if the best ask is set by unpriced orders (e.g. market orders)
ASK_PRICE_AT_HIGH_BID	QTE_1M	Ask price of the quote that set HIGH_BID.  If there are multiple bid quotes at HIGH_BID, the first one is used.
ASK_SIZE	QTE, QTE_ODD_LOT, NBBO	Best ask size
ASK_SIZE_AON	QTE	Volume of AON (All Or None) orders included in the best ask size
ASK_SIZE_AT_HIGH_BID	QTE_1M	Ask size of the quote that set HIGH_BID.  If there are multiple bid quotes at HIGH_BID, the first one is used.
ASK_SIZE_IMPLIED	QTE	Volume of implied orders included in the best ask size (best ask size = implied ask size + outright ask size)
ASK_SIZE_OUTRIGHT	QTE	Volume of outright (non-implied) orders included in the best ask size
ASK_SIZE_TOTAL	NBBO	Total size at the (national) best ask price across all participant markets
ASK_VENUE	NBBO	Identifies the venue (typically a MIC) from which the ask originates
ASK_YIELD	QTE	Yield corresponding to the best ask price
ASK_YIELD_SPREAD	QTE	Difference between the ask yield and the security's benchmark yield
AT_NBBO_BOTH_DURATION	QTE_NBBO_DAY	Main Session Duration in seconds for the exchange to be at both the NBBO Bid and Ask
AT_NBBO_BID_DURATION	QTE_NBBO_DAY	Main Session Duration in seconds for the exchange to be at the NBBO Bid
AT_NBBO_ASK_DURATION	QTE_NBBO_DAY	Main Session Duration in seconds for the exchange to be at the NBBO Ask
AT_NBBO_EITHER_DURATION	QTE_NBBO_DAY	Main Session Duration in seconds for the exchange to be at either or both the NBBO Bid or Ask
AT_NBBO_BOTH_SIZE	QTE_NBBO_DAY	Main Session Time Weighted Average of the sum of BID_SIZE and ASK_SIZE from Exchange, when at the NBBO
AT_NBBO_BID_SIZE	QTE_NBBO_DAY	Main Session Time Weighted Average of the BID_SIZE from Exchange, when at the NBBO Bid
AT_NBBO_ASK_SIZE	QTE_NBBO_DAY	Main Session Time Weighted Average of the ASK_SIZE from Exchange, when at the NBBO Ask
AT_NBBO_EITHER_SIZE	QTE_NBBO_DAY	Main Session Time Weighted Average of the Bid and Ask Size from Exchange, when at either or both the NBBO Bid or Ask.  Size not at NBBO is not included.
ATS_INDICATOR	TRD	Indicates whether an ATS was involved in the execution or publication of the trade ("Y" - Yes, "" - No / Unspecified)
AUCTION_BOOK_PRICE	IND	Theoretical auction price calculated using auction-only orders (i.e. excluding orders in the continuous book)
AUCTION_COND	IND	Indicates any special conditions applicable during an auction phase
AUCTION_PRICE_TYPE	IND	Type of auction price.
AUCTION_STATUS	IND	Describes the state of the orderbook during an auction phase
AUCTION_TYPE	IND	Type of auction from which an indicative auction price / auction imbalance originates.
AVG_DAILY_VOLUME	SHORT_INT	Average daily traded volume
AVG_LATENCY_COLLECTION	LAT_1M	Average Latency of Real Time Collection.  Difference between Exchange timestamp and collection timestamp.
AVG_LATENCY_LOAD	LAT_1M	Average Latency of Real Time Loading.  Difference between the collection timestamp and availability within the Memory Database.	
MAX_LATENCY_COLLECTION	LAT_1M	Maximum Latency of Real Time Collection.  Difference between Exchange timestamp and collection timestamp.
MAX_LATENCY_LOAD	LAT_1M	Maximum Latency of Real Time Loading.  Difference between the collection timestamp and availability within the Memory Database.	
BARGAIN_COND	TRD	Identifies trades that were determined by factors other than the market price
BBG_TICKER	STAT	Bloomberg ticker symbol
BBG_UNIQUE_ID	STAT	Bloomberg Unique ID
BENCHMARK_SYMBOL	STAT	Ticker symbol of the instrument's benchmark security
BENCHMARK_TERM	STAT	Term to maturity for benchmarking purposes (e.g. "10 Years")
BENCHMARK_YIELD	QTE	Yield of the instrument's benchmark security
BID_ASSET_SWAP_SPREAD	QTE	Difference between the bid yield and the relevant point on the LIBOR curve
BID_BULLET_PRICE	QTE	Price of an equivalent bullet bond with the same term to maturity, based on the security's current bid price
BID_BULLET_YIELD	QTE	Yield of an equivalent bullet bond with the same term to maturity, based on the security's current bid yield
BID_CLOSE	DAY	Closing bid price
BID_COND	QTE, QTE_ODD_LOT	Quote condition applicable to the best bid
BID_EXCHANGE	QTE, NBBO	Exchange that set the best bid
BID_EXEC_VOLUME	IND	Total volume of buy orders that are executable at the indicative auction price
BID_G_SPREAD	QTE	Difference between the bid yield and the equivalent interpolated point on the benchmark yield curve
BID_I_SPREAD	QTE	Difference between the bid yield and the equivalent interpolated point on the relevant swap curve
BID_LIMIT_IND	QTE	Indicates whether the best bid is at the upper / lower trading limit (limit up / limit down)
BID_MKT_ORDER_SIZE	QTE	Total volume of market orders on the bid side
BID_NUM_ORDERS	QTE	Number of orders at the best bid price
BID_OAS	QTE	Option-adjusted bid spread - i.e. the yield spread over the benchmark curve such that the total present value of the security's cash flows matches the bid price, taking into account any embedded options
BID_ORDER_CNT	QTE	Number of orders at the best bid price [same as BID_NUM_ORDERS]
BID_PRICE	QTE, QTE_ODD_LOT, NBBO	Best bid price. A null value is used if the bid side is empty, or if the best bid is set by unpriced orders (e.g. market orders)
BID_PRICE_AT_LOW_ASK	QTE_1M	Bid price of the quote that set LOW_ASK. If there are multiple ask quotes at LOW_ASK, the first one is used.
BID_SIZE	QTE, QTE_ODD_LOT, NBBO	Best bid size
BID_SIZE_AON	QTE	Volume of AON (All Or None) orders included in the best bid size
BID_SIZE_IMPLIED	QTE	Volume of implied orders included in the best bid size (best bid size = implied bid size + outright bid size)
