DB	FIELD	VALUE	DESCRIPTION
ABU_DHABI	BOOK_TYPE	0	Lit order book
ABU_DHABI	BOOK_TYPE	1	Off-book
ABU_DHABI	TRADE_PERIOD	-	Regular trading
ABU_DHABI	TRADE_PERIOD	C	Closing auction
ABU_DHABI	TRADE_PERIOD	O	Opening auction
ABU_DHABI	TRADE_PERIOD	T	Trading at closing price
ABU_DHABI	TRADE_PERIOD	U	Unscheduled auction
ABU_DHABI	TRADE_TYPE	""	Regular trade
ABU_DHABI	TRADE_TYPE	1	Regular trade
ABU_DHABI	TRADE_TYPE	2	Block trade
ABU_DHABI	TRADE_TYPE	3	Auction trade
ALPHA	AGGRESSOR_SIDE	""	Undefined (e.g. auction trades, off-book trades)
ALPHA	AGGRESSOR_SIDE	B	Buy
ALPHA	AGGRESSOR_SIDE	S	Sell
ALPHA	BOOK_TYPE	0	Lit order book
ALPHA	BOOK_TYPE	1	Off-book
ALPHA	BOOK_TYPE	3	Odd lot book
ALPHA	BOOK_TYPE	4	Special terms book
ALPHA	BYPASS	""	Not a bypass trade
ALPHA	BYPASS	Y	Bypass trade
ALPHA	MKT_PHASE	AS	Halted
ALPHA	MKT_PHASE	C	Closed
ALPHA	MKT_PHASE	F	Extended hours close
ALPHA	MKT_PHASE	I	Inhibited
ALPHA	MKT_PHASE	IS	Inhibited, halted
ALPHA	MKT_PHASE	N	Extended hours CXLs
ALPHA	MKT_PHASE	O	Opening
ALPHA	MKT_PHASE	P	Pre-open
ALPHA	MKT_PHASE	S	Open
ALPHA	ODD_LOT	""	Board lot
ALPHA	ODD_LOT	Y	Odd lot
ALPHA	ORDER_TYPE	L	Limit order
ALPHA	ORDER_TYPE	M	Market order
ALPHA	SPECIAL_TERMS	""	No special terms (standard settlement)
ALPHA	SPECIAL_TERMS	C	Cash
ALPHA	SPECIAL_TERMS	CT	Cash today
ALPHA	SPECIAL_TERMS	DC	Derivative-related contingent trade
ALPHA	SPECIAL_TERMS	DD	Delayed delivery
ALPHA	SPECIAL_TERMS	NN	Non-net
ALPHA	SPECIAL_TERMS	NR	Non-resident
ALPHA	TRADE_PERIOD	-	Regular trading
ALPHA	TRADE_TYPE	""	Regular trade
ALPHA	TRADE_TYPE	7	NAV cross
ALPHA	TRADE_TYPE	C	Contingent cross
ALPHA	TRADE_TYPE	G	VWAP cross
ALPHA	TRADE_TYPE	I	Derivative-related cross
ALPHA	TRADE_TYPE	J	Regular (intentional) cross
ALPHA	TRADE_TYPE	O	Basis cross
ALPHA	TRADE_TYPE	S	Special Trading Session cross
ALPHA	TRADE_TYPE	X	Internal cross
ALPHA	UPDATE_TYPE	A	Add
ALPHA	UPDATE_TYPE	D	Delete
ALPHA	UPDATE_TYPE	F	Fill
ALPHA	UPDATE_TYPE	M	Modify
ALPHA	UPDATE_TYPE	P	Partial fill
ALPHA_X	AGGRESSOR_SIDE	""	Undefined (e.g. auction trades, off-book trades)
ALPHA_X	AGGRESSOR_SIDE	B	Buy
ALPHA_X	AGGRESSOR_SIDE	S	Sell
ALPHA_X	BOOK_TYPE	0	Lit order book
ALPHA_X	BOOK_TYPE	1	Off-book
ALPHA_X	BOOK_TYPE	2	Dark book
ALPHA_X	BOOK_TYPE	3	Odd lot book
ALPHA_X	BOOK_TYPE	4	Special terms book
ALPHA_X	BYPASS	""	Not a bypass trade
ALPHA_X	BYPASS	Y	Bypass trade
ALPHA_X	MKT_PHASE	AS	Halted
ALPHA_X	MKT_PHASE	C	Closed
ALPHA_X	MKT_PHASE	F	Extended hours close
ALPHA_X	MKT_PHASE	I	Inhibited
ALPHA_X	MKT_PHASE	IS	Inhibited, halted
ALPHA_X	MKT_PHASE	N	Extended hours CXLs
ALPHA_X	MKT_PHASE	O	Opening
ALPHA_X	MKT_PHASE	P	Pre-open
ALPHA_X	MKT_PHASE	S	Open
ALPHA_X	ODD_LOT	""	Board lot
ALPHA_X	ODD_LOT	Y	Odd lot
ALPHA_X	ORDER_TYPE	L	Limit order
ALPHA_X	ORDER_TYPE	M	Market order
ALPHA_X	SPECIAL_TERMS	""	No special terms (standard settlement)
ALPHA_X	SPECIAL_TERMS	C	Cash
ALPHA_X	SPECIAL_TERMS	CT	Cash today
ALPHA_X	SPECIAL_TERMS	DC	Derivative-related contingent trade
ALPHA_X	SPECIAL_TERMS	DD	Delayed delivery
ALPHA_X	SPECIAL_TERMS	NN	Non-net
ALPHA_X	SPECIAL_TERMS	NR	Non-resident
ALPHA_X	TRADE_PERIOD	-	Regular trading
ALPHA_X	TRADE_TYPE	""	Regular trade
ALPHA_X	TRADE_TYPE	7	NAV cross
ALPHA_X	TRADE_TYPE	C	Contingent cross
ALPHA_X	TRADE_TYPE	G	VWAP cross
ALPHA_X	TRADE_TYPE	I	Derivative-related cross
ALPHA_X	TRADE_TYPE	J	Regular (intentional) cross
ALPHA_X	TRADE_TYPE	O	Basis cross
ALPHA_X	TRADE_TYPE	S	Special Trading Session cross
ALPHA_X	TRADE_TYPE	X	Internal cross
ALPHA_X	UPDATE_TYPE	A	Add
ALPHA_X	UPDATE_TYPE	D	Delete
ALPHA_X	UPDATE_TYPE	F	Fill
ALPHA_X	UPDATE_TYPE	M	Modify
ALPHA_X	UPDATE_TYPE	P	Partial fill
AMEX	AGGRESSOR_SIDE	""	Undefined (e.g. auction trades, trades against hidden liquidity)
AMEX	AGGRESSOR_SIDE	B	Buy
AMEX	AGGRESSOR_SIDE	S	Sell
AMEX	TRADE_TYPE	""	Regular trade
AMEX	TRADE_TYPE	A	Auction trade
AMEX	TRADE_TYPE	H	Regular trade against hidden liquidity
AMEX	TRADE_TYPE_EXT	@	Standard settlement
AMEX	TRADE_TYPE_EXT	" "	No trade-through exemption
AMEX	TRADE_TYPE_EXT	F	Intremarket sweep
AMEX	TRADE_TYPE_EXT	O	Market center opening trade
AMEX	TRADE_TYPE_EXT	5	Re-opening trade
AMEX	TRADE_TYPE_EXT	6	Market center closing trade
AMEX	TRADE_TYPE_EXT	T	Extended hours
AMEX	TRADE_TYPE_EXT	U	Extended hours + out of sequence
AMEX	TRADE_TYPE_EXT	Z	Out of sequence
AMEX	TRADE_TYPE_EXT	I	Odd lot trade
AMEX	ODD_LOT	Y	Odd lot
AMEX	ODD_LOT	""	Not an odd lot
AMEX	TRADE_PERIOD	-	Regular trading
AMEX	TRADE_PERIOD	C	Closing auction
AMEX	TRADE_PERIOD	E	Extended hours (Early session)
