PUBLIC string[1]	DB_CATEGORY string[32]	DATASET string[128]	DB_NAME string[128]	DB_TYPE string[64]	EXCHANGE string[128]	DATASET_DESC string[1024]	MIC string[512]	COUNTRY	COUNTRY_NAME string[256]	STARTDATE	REAL_TIME string[1]	BARS string[1]	BOOK_DEPTH string[1]	TIME_ZONE string[32]	MARKET_HOURS string[12]	EQUITIES string[1]	FUTURES string[1]	OPTIONS string[1]	SPREADS string[1]	INDICES string[1]	FX string[1]
Y	EXCHANGE - DERIVATIVES	ABAXX	ABAXX	Tick Data	Abaxx Exchange	Abaxx Exchange introduces centrally cleared, physically delivered futures contracts and derivatives to provide better price signals, improved risk management capabilities and an enhanced network for energy, metals and environmental markets.	XABX	SG	Singapore	20250818	N	N	N	Asia/Singapore	10:00-24:00	N	Y	N	Y	N	N
Y	EXCHANGE - CASH	ABU_DHABI	ABU_DHABI	Tick Data	Abu Dhabi Securities Exchange	The Abu Dhabi Securities Exchange (ADX) facilitates trading in equities, bonds, ETFs, and other securities issued by UAE companies.	XADS	AE	UAE	20160627	N	Y	N	Asia/Dubai	08:00-17:00	Y	N	N	N	Y	N
Y	EXCHANGE - CASH	ABU_DHABI	ABU_DHABI_BARS	1 Minute Bars	Abu Dhabi Securities Exchange	The Abu Dhabi Securities Exchange (ADX) facilitates trading in equities, bonds, ETFs, and other securities issued by UAE companies.	XADS	AE	UAE	20160627	N	Y	N	Asia/Dubai	08:00-17:00	Y	N	N	N	Y	N
Y	EXCHANGE - CASH	ABU_DHABI	ABU_DHABI_DAILY	End of Day Metrics	Abu Dhabi Securities Exchange	The Abu Dhabi Securities Exchange (ADX) facilitates trading in equities, bonds, ETFs, and other securities issued by UAE companies.	XADS	AE	UAE	20160627	N	Y	N	Asia/Dubai	08:00-17:00	Y	N	N	N	Y	N
Y	EXCHANGE - CASH	ALPHA	ALPHA	Tick Data	TSX Alpha	TSX Alpha Exchange (Alpha) is a trading venue owned and operated by TMX Group (TMX) trading Toronto Stock Exchange (TSX) and TSX Venture Exchange (TSXV) listed securities.	XATS	CA	Canada	20170529	N	N	Y	America/Toronto	09:00-16:00	Y	N	N	N	N	N
Y	EXCHANGE - CASH	ALPHA	ALPHA_DAILY	End of Day Metrics	TSX Alpha	TSX Alpha Exchange (Alpha) is a trading venue owned and operated by TMX Group (TMX) trading Toronto Stock Exchange (TSX) and TSX Venture Exchange (TSXV) listed securities.	XATS	CA	Canada	20170529	N	N	Y	America/Toronto	09:00-16:00	Y	N	N	N	N	N
Y	EXCHANGE - CASH	ALPHA_X	ALPHA_X	Tick Data	TSX Alpha-X / Alpha DRK	Alpha-X is a visible order book that has all of the same order types and trading functionalities currently available on TSX Alpha Exchange, and features the new Smart Limit™ order type, Alpha DRK is a fully dark order book with a comprehensive suite of pegged (Primary, Market, Minimum Price Improvement, Midpoint) market and limit order types, and has the new Smart Peg™ order type.	XATX ADRK	CA	Canada	20231106	N	N	Y	America/Toronto	09:00-16:00	Y	N	N	N	N	N
Y	EXCHANGE - CASH	ALPHA_X	ALPHA_X_DAILY	End of Day Metrics	TSX Alpha-X / Alpha DRK	Alpha-X is a visible order book that has all of the same order types and trading functionalities currently available on TSX Alpha Exchange, and features the new Smart Limit™ order type, Alpha DRK is a fully dark order book with a comprehensive suite of pegged (Primary, Market, Minimum Price Improvement, Midpoint) market and limit order types, and has the new Smart Peg™ order type.	XATX ADRK	CA	Canada	20231106	N	N	Y	America/Toronto	09:00-16:00	Y	N	N	N	N	N
Y	EXCHANGE - CASH	AMEX	AMEX	Tick Data	NYSE American Equities	The AMEX (American Stock Exchange) is a prominent US stock and options exchange based in New York City, which is now officially known as the NYSE American. Acquired by the NYSE's parent company, it functions as an electronic exchange primarily focused on listing and trading small-cap stocks and ETFs (Exchange Traded Funds)	XASE	US	USA United States	20250501	N	N	Y	America/New_York	09:30-16:00	Y	N	N	N	N	N
Y	EXCHANGE - CASH	AQSE	AQSE	Tick Data	Aquis Stock Exchange	Aquis Exchange PLC is a creator and facilitator of next-generation financial markets, through the provision of accessible, simple and efficient stock exchanges, trading venues and technology	AQSE AQSD AQSF AQSG AQSL AQSN AQST NEXX NEXD NEXF NEXG NEXL NEXN NEXT	GB	UK United Kindom	20201123	N	N	Y	Europe/London	08:00-17:00	Y	N	N	N	N	N
Y	EXCHANGE - CASH	AQSE	AQSE_BARS	1 Minute Bars	Aquis Stock Exchange	Aquis Exchange PLC is a creator and facilitator of next-generation financial markets, through the provision of accessible, simple and efficient stock exchanges, trading venues and technology	AQSE AQSD AQSF AQSG AQSL AQSN AQST NEXX NEXD NEXF NEXG NEXL NEXN NEXT	GB	UK United Kindom	20201123	N	N	Y	Europe/London	08:00-17:00	Y	N	N	N	N	N
Y	EXCHANGE - CASH	AQSE	AQSE_DAILY	End of Day Metrics	Aquis Stock Exchange	Aquis Exchange PLC is a creator and facilitator of next-generation financial markets, through the provision of accessible, simple and efficient stock exchanges, trading venues and technology	AQSE AQSD AQSF AQSG AQSL AQSN AQST NEXX NEXD NEXF NEXG NEXL NEXN NEXT	GB	UK United Kindom	20201123	N	N	Y	Europe/London	08:00-17:00	Y	N	N	N	N	N
Y	EXCHANGE - CASH	AQUIS	AQUIS	Tick Data	Aquis UK	Aquis Stock Exchange is designed specifically for growth enterprises: we are fully focused on powering the companies of the future.	AQXE AQXA AQXD	AT BE CH CY CZ DE DK ES FI FR GB GR HU IE IS IT NL NO PL PT SE	Austria Belgium Switzerland Czechia Germany Denmark Spain Finland France UK United Kindom Greece Hungary Ireland Iceland Italy Luxembourg Netherlands Norway Poland Portugal Sweden	20160901	N	Y	Y	Europe/London	08:00-17:00	Y	N	N	N	N	N
Y	EXCHANGE - CASH	AQUIS	AQUIS_BARS	1 Minute Bars	Aquis UK	Aquis Stock Exchange is designed specifically for growth enterprises: we are fully focused on powering the companies of the future.	AQXE AQXA AQXD	AT BE CH CY CZ DE DK ES FI FR GB GR HU IE IS IT NL NO PL PT SE	Austria Belgium Switzerland Czechia Germany Denmark Spain Finland France UK United Kindom Greece Hungary Ireland Iceland Italy Luxembourg Netherlands Norway Poland Portugal Sweden	20160901	N	Y	Y	Europe/London	08:00-17:00	Y	N	N	N	N	N
Y	EXCHANGE - CASH	AQUIS	AQUIS_DAILY	End of Day Metrics	Aquis UK	Aquis Stock Exchange is designed specifically for growth enterprises: we are fully focused on powering the companies of the future.	AQXE AQXA AQXD	AT BE CH CY CZ DE DK ES FI FR GB GR HU IE IS IT NL NO PL PT SE	Austria Belgium Switzerland Czechia Germany Denmark Spain Finland France UK United Kindom Greece Hungary Ireland Iceland Italy Luxembourg Netherlands Norway Poland Portugal Sweden	20160901	N	Y	Y	Europe/London	08:00-17:00	Y	N	N	N	N	N
Y	EXCHANGE - CASH	AQUIS_EU	AQUIS_EU	Tick Data	Aquis Europe	Aquis Europe is the European segment of the Aquis pan-European cash equities trading books, covering securities across 13 European markets outside the UK.	AQEU AQEA AQED	AT BE CH CY CZ DE DK ES FI FR GB GR HU IE IS IT NL NO PL PT SE	Austria Belgium Switzerland Czechia Germany Denmark Spain Finland France UK United Kindom Greece Hungary Ireland Iceland Italy Luxembourg Netherlands Norway Poland Portugal Sweden	20190930	N	Y	Y	Europe/Paris	08:00-17:00	Y	N	N	N	N	N
Y	EXCHANGE - CASH	AQUIS_EU	AQUIS_EU_BARS	1 Minute Bars	Aquis Europe	Aquis Europe is the European segment of the Aquis pan-European cash equities trading books, covering securities across 13 European markets outside the UK.	AQEU AQEA AQED	AT BE CH CY CZ DE DK ES FI FR GB GR HU IE IS IT NL NO PL PT SE	Austria Belgium Switzerland Czechia Germany Denmark Spain Finland France UK United Kindom Greece Hungary Ireland Iceland Italy Luxembourg Netherlands Norway Poland Portugal Sweden	20190930	N	Y	Y	Europe/Paris	08:00-17:00	Y	N	N	N	N	N
Y	EXCHANGE - CASH	AQUIS_EU	AQUIS_EU_DAILY	End of Day Metrics	Aquis Europe	Aquis Europe is the European segment of the Aquis pan-European cash equities trading books, covering securities across 13 European markets outside the UK.	AQEU AQEA AQED	AT BE CH CY CZ DE DK ES FI FR GB GR HU IE IS IT NL NO PL PT SE	Austria Belgium Switzerland Czechia Germany Denmark Spain Finland France UK United Kindom Greece Hungary Ireland Iceland Italy Luxembourg Netherlands Norway Poland Portugal Sweden	20190930	N	Y	Y	Europe/Paris	08:00-17:00	Y	N	N	N	N	N
Y	EXCHANGE - CASH	ARCA	ARCA	Tick Data	NYSE Arca Equities	NYSE Arca is a fully electronic U.S. securities exchange and a subsidiary of the New York Stock Exchange (NYSE) Group. Originally founded as the Archipelago Exchange (ArcaEx), it merged with the NYSE in 2006. Today, it is the global market leader in trading Exchange-Traded Products (ETPs) like ETFs and ETNs	ARCX	US	USA United States	20250501	N	N	Y	America/New_York	09:30-16:00	Y	N	N	N	N	N
Y	EXCHANGE - CASH	ARCA_IMB	ARCA_IMB	Tick Data	ARCA Auction Imbalance Data	Opening and Closing Auction Imbalance data for the ARCA Exchange	ARCX	US	USA United States	20250811	Y	N	N	America/New_York	09:30-16:00	Y	N	N	N	N	N
Y	EXCHANGE - CASH	ASX	ASX	Tick Data	Australian Stock Exchange	The Australian Stock Exchange (ASX) offers trading in equities, bonds, ETFs, derivatives, and other securities issued by Australian companies.	XASX XASC	AU	Australia	20080506	N	Y	N	Australia/Sydney	08:00-17:00	Y	N	N	N	N	N
Y	EXCHANGE - CASH	ASX	ASX_BARS	1 Minute Bars	Australian Stock Exchange	The Australian Stock Exchange (ASX) offers trading in equities, bonds, ETFs, derivatives, and other securities issued by Australian companies.	XASX XASC	AU	Australia	20080506	N	Y	N	Australia/Sydney	08:00-17:00	Y	N	N	N	N	N
