FIELD_NAME	DATA_TYPE	DB_NAME	TICK_TYPE
SYMBOL_NAME	string	A3	DAY
TIMESTAMP	nsectime	A3	DAY
UPDATE_TYPE	string[16]	A3	DAY
OPEN	double	A3	DAY
HIGH	double	A3	DAY
LOW	double	A3	DAY
CLOSE	double	A3	DAY
VOLUME	double	A3	DAY
SETTLE_PRICE	double	A3	DAY
SETTLE_DATE	string[8]	A3	DAY
OPEN_INT	double	A3	DAY
OPEN_INT_DATE	string[8]	A3	DAY
TRADE_COUNT	double	A3	DAY
VWAP	double	A3	DAY
ON_BOOK_VOLUME	double	A3	DAY
OFF_BOOK_VOLUME	double	A3	DAY
SPREAD_VOLUME	double	A3	DAY
OMDSEQ	uint	A3	DAY
SYMBOL_NAME	string	A3	IDX
TIMESTAMP	nsectime	A3	IDX
EXCH_TIME	nsectime	A3	IDX
PRICE	double	A3	IDX
OMDSEQ	uint	A3	IDX
SYMBOL_NAME	string	A3	LULD
TIMESTAMP	nsectime	A3	LULD
EXCH_TIME	nsectime	A3	LULD
HIGH_LIMIT	double	A3	LULD
LOW_LIMIT	double	A3	LULD
OMDSEQ	uint	A3	LULD
SYMBOL_NAME	string	A3	MKT
TIMESTAMP	nsectime	A3	MKT
EXCH_TIME	nsectime	A3	MKT
MKT_PHASE	string[8]	A3	MKT
OMD_STATUS	string[1]	A3	MKT
OMDSEQ	uint	A3	MKT
SYMBOL_NAME	string	A3	QTE
TIMESTAMP	nsectime	A3	QTE
EXCH_TIME	nsectime	A3	QTE
BID_PRICE	double	A3	QTE
BID_SIZE	long	A3	QTE
ASK_PRICE	double	A3	QTE
ASK_SIZE	long	A3	QTE
OMDSEQ	uint	A3	QTE
SYMBOL_NAME	string	A3	STAT
TIMESTAMP	nsectime	A3	STAT
NAME	string[200]	A3	STAT
ISIN	string[12]	A3	STAT
EXCH_SYMBOL	string[40]	A3	STAT
TRADING_CODE	string[20]	A3	STAT
PRODUCT_CODE	string[20]	A3	STAT
UNDERLYING_SYMBOL	string[32]	A3	STAT
UNDERLYING_ISIN	string[12]	A3	STAT
MIC	string[4]	A3	STAT
OPERATING_MIC	string[4]	A3	STAT
SEC_TYPE	string[20]	A3	STAT
UNDERLYING_SEC_TYPE	string[20]	A3	STAT
STRATEGY_TYPE	string[40]	A3	STAT
EXCH_SEC_TYPE	string[20]	A3	STAT
EXCH_STRATEGY_TYPE	string[20]	A3	STAT
CFI_CODE	string[6]	A3	STAT
CURRENCY	string[3]	A3	STAT
EXPIRATION_DATE	string[8]	A3	STAT
STRIKE_PRICE	double	A3	STAT
CALL_PUT_IND	string[1]	A3	STAT
EXERCISE_TYPE	string[1]	A3	STAT
SETTLEMENT_TYPE	string[1]	A3	STAT
CONTRACT_SIZE	double	A3	STAT
LOT_SIZE	double	A3	STAT
TICK_SIZE_TYPE	string[8]	A3	STAT
TICK_SIZE	string[80]	A3	STAT
TICK_VALUE	double	A3	STAT
POINT_VALUE	double	A3	STAT
OMDSEQ	uint	A3	STAT
SYMBOL_NAME	string	A3	TRD
TIMESTAMP	nsectime	A3	TRD
EXCH_TIME	nsectime	A3	TRD
PRICE	double	A3	TRD
SIZE	long	A3	TRD
AGGRESSOR_SIDE	string[1]	A3	TRD
TRADE_TYPE	string[4]	A3	TRD
TRADE_PERIOD	string[1]	A3	TRD
BOOK_TYPE	string[1]	A3	TRD
TRADE_ID	string[20]	A3	TRD
DELETED_TIME	msectime	A3	TRD
TICK_STATUS	int	A3	TRD
OMDSEQ	uint	A3	TRD
SYMBOL_NAME	string	A3_DAILY	DAY
TIMESTAMP	nsectime	A3_DAILY	DAY
UPDATE_TYPE	string[16]	A3_DAILY	DAY
OPEN	double	A3_DAILY	DAY
