	DB_NAME	ACTIVITY_NAME	TIME_ZONE	START_TIME	END_TIME	START_DATE	END_DATE
0	ABAXX	Full Holiday	Asia/Singapore	00:00	24:00	2026-06-01	2026-06-01
1	ABAXX	Full Holiday	Asia/Singapore	00:00	24:00	2026-05-27	2026-05-27
2	ABAXX	Full Holiday	Asia/Singapore	00:00	24:00	2026-05-01	2026-05-01
3	ABAXX	Full Holiday	Asia/Singapore	00:00	24:00	2026-04-03	2026-04-03
4	ABAXX	Full Holiday	Asia/Singapore	00:00	24:00	2026-02-18	2026-02-18
5	ABAXX	Full Holiday	Asia/Singapore	00:00	24:00	2026-02-17	2026-02-17
6	ABAXX	Limited Trading Hours	Asia/Singapore	09:00	12:16	2026-02-16	2026-02-16
7	ABAXX	Full Holiday	Asia/Singapore	00:00	24:00	2026-01-01	2026-01-01
8	ABAXX	Limited Trading Hours	Asia/Singapore	09:00	12:16	2025-12-31	2025-12-31
9	ABAXX	Full Holiday	Asia/Singapore	00:00	24:00	2025-12-25	2025-12-25
10	ABU_DHABI	Full Holiday	Asia/Dubai	00:00	24:00	2026-06-16	2026-06-16
11	ABU_DHABI	Full Holiday	Asia/Dubai	00:00	24:00	2026-05-28	2026-05-28
12	ABU_DHABI	Full Holiday	Asia/Dubai	00:00	24:00	2026-05-27	2026-05-27
13	ABU_DHABI	Full Holiday	Asia/Dubai	00:00	24:00	2026-05-26	2026-05-26
14	ABU_DHABI	Full Holiday	Asia/Dubai	00:00	24:00	2026-03-20	2026-03-20
15	ABU_DHABI	Full Holiday	Asia/Dubai	00:00	24:00	2026-03-19	2026-03-19
16	ABU_DHABI	Full Holiday	Asia/Dubai	00:00	24:00	2026-01-01	2026-01-01
17	ABU_DHABI	Full Holiday	Asia/Dubai	00:00	24:00	2025-12-03	2025-12-03
18	ABU_DHABI	Full Holiday	Asia/Dubai	00:00	24:00	2025-12-02	2025-12-02
19	ABU_DHABI	Full Holiday	Asia/Dubai	00:00	24:00	2025-12-01	2025-12-01
20	ALPHA	Full Holiday	America/Toronto	00:00	24:00	2026-08-03	2026-08-03
