	DB_NAME	SESSION	TIME_ZONE	START_TIME	END_TIME
0	ABAXX	PRE_MARKET	Asia/Singapore	08:30	09:00
1	ABAXX	MARKET	Asia/Singapore	09:00	17:06
2	ABAXX	X_LUNCH_BREAK	Asia/Singapore	12:00	13:00
3	ABU_DHABI	PRE_MARKET	Asia/Dubai	09:30	10:00
4	ABU_DHABI	MARKET	Asia/Dubai	10:00	14:00
5	ALPHA	PRE_MARKET	America/Toronto	07:00	09:30
6	ALPHA	MARKET	America/Toronto	09:30	16:00
7	ALPHA	POST_MARKET	America/Toronto	16:00	17:00
8	ALPHA_X	PRE_MARKET	America/Toronto	07:00	09:30
9	ALPHA_X	MARKET	America/Toronto	09:30	16:00
10	ALPHA_X	POST_MARKET	America/Toronto	16:00	17:00
11	AMEX	PRE_MARKET	America/New_York	04:00	09:30
12	AMEX	MARKET	America/New_York	09:30	16:00
13	AMEX	POST_MARKET	America/New_York	16:00	20:00
14	AMOU	PRE_MARKET	America/New_York	04:00	09:30
15	AMOU	MARKET	America/New_York	09:30	16:00
16	AMOU	POST_MARKET	America/New_York	16:00	20:00
17	AMXI	PRE_MARKET	America/New_York	04:00	09:30
18	AMXI	MARKET	America/New_York	09:30	16:00
19	AMXI	POST_MARKET	America/New_York	16:00	20:00
20	AQSE	MARKET	Europe/London	08:00	16:30
21	AQUIS	MARKET	Europe/London	08:00	16:30
22	AQUIS_EU	MARKET	Europe/London	08:00	16:30
23	ARCA	PRE_MARKET	America/New_York	04:00	09:30
24	ARCA	MARKET	America/New_York	09:30	16:00
25	ARCA	POST_MARKET	America/New_York	16:00	20:00
26	ARCA_OPTIONS	PRE_MARKET	America/New_York	04:00	09:30
27	ARCA_OPTIONS	MARKET	America/New_York	09:30	16:00
28	ARCA_OPTIONS	POST_MARKET	America/New_York	16:00	20:00
29	ARCT	PRE_MARKET	America/New_York	04:00	09:30
30	ARCT	MARKET	America/New_York	09:30	16:00
31	ARCT	POST_MARKET	America/New_York	16:00	20:00
32	ASX	PRE_MARKET	Australia/Sydney	07:00	10:00
33	ASX	MARKET	Australia/Sydney	10:00	16:00
